trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-149.3700698710986,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-238.7781307093526,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-107.29235855576827,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-155.9356892011616,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-114.24287485718,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,5,-100.84676593728217,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-58.71986798210651,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,1,-104.41354126196806,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-43.847289946453614,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,6,-30.475271194957234,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-66.99494273516635,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,8,-58.38288009241791,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,11,-142.08850134234035,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 3}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,16,6.407960002303253,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-30.618955272292922,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,17.25470654514475,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,2,-54.18821400215041,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-69.48031186832289,"{0: 28, 1: 1, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-14.240430855713782,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,12.86625338945803,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,24.482880094097585,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,3,-38.59998172400381,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,7,20.11015175729462,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,3,7.208023406947802,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,34.45840996327903,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,8,14.17898912684955,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,14,-28.07426796017564,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,7,-2.3963213089764217,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,8,19.19604005656781,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,13,21.6429989435827,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
