trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.98, 'e': 1.0}",30,3,-130.0823791034702,"{0: 14, 1: 3, 2: 9, 3: 0, 4: 1}",1
2,False,"{'a': 0.9601986733067552, 'e': 0.9801986733067553}",20,0,-110.18384430572833,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.9407894391523232, 'e': 0.9607894391523232}",20,4,-53.72566836112438,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.9217645335842487, 'e': 0.9417645335842487}",35,0,-245.0258368398185,"{0: 16, 1: 6, 2: 8, 3: 2, 4: 3}",0
5,False,"{'a': 0.9031163463866357, 'e': 0.9231163463866358}",20,0,-139.49811577222582,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.8848374180359595, 'e': 0.9048374180359595}",20,0,-98.85005773575399,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.8669204367171575, 'e': 0.8869204367171575}",25,0,-66.8493457734282,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.8493582353988058, 'e': 0.8693582353988059}",20,0,-122.18663119652014,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.8321437889662113, 'e': 0.8521437889662113}",35,0,-344.6891231173814,"{0: 15, 1: 3, 2: 9, 3: 3, 4: 5}",0
10,False,"{'a': 0.815270211411272, 'e': 0.835270211411272}",20,0,-46.30877728115951,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.7987307530779818, 'e': 0.8187307530779818}",20,0,-99.02385859686505,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.7825187979624785, 'e': 0.8025187979624785}",20,0,-3.1398799182552177,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.7666278610665535, 'e': 0.7866278610665535}",20,0,-119.97834270395823,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.7510515858035662, 'e': 0.7710515858035663}",30,0,-108.17536114421355,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.7357837414557254, 'e': 0.7557837414557255}",25,16,-48.92962846256109,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.7208182206817179, 'e': 0.7408182206817179}",25,0,-107.75653113973236,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.7061490370736909, 'e': 0.7261490370736909}",20,0,-107.41118970707933,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.6917703227626096, 'e': 0.7117703227626097}",20,0,-69.8232690410327,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.677676326071031, 'e': 0.697676326071031}",20,0,-123.90163679081651,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.6638614092123558, 'e': 0.6838614092123558}",30,14,-11.958079875382392,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.6503200460356393, 'e': 0.6703200460356393}",25,1,-99.76536066005173,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 2}",1
22,False,"{'a': 0.6370468198150567, 'e': 0.6570468198150567}",20,0,-86.52422762257991,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.6240364210831414, 'e': 0.6440364210831414}",25,5,-61.45358017526754,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
24,False,"{'a': 0.6112836455069259, 'e': 0.631283645506926}",20,0,-60.02708177262645,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.5987833918061408, 'e': 0.6187833918061408}",20,8,-58.198499490017184,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
26,False,"{'a': 0.5865306597126334, 'e': 0.6065306597126334}",20,6,-45.87277903736084,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
27,False,"{'a': 0.5745205479701944, 'e': 0.5945205479701944}",20,0,-21.33318409406039,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.5627482523739896, 'e': 0.5827482523739896}",25,4,-119.71400474270715,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 3}",1
29,False,"{'a': 0.5512090638488149, 'e': 0.5712090638488149}",20,0,-106.14216822407222,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.539898366565402, 'e': 0.559898366565402}",20,2,10.599179409357165,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5288116360940265, 'e': 0.5488116360940265}",20,0,-17.39675861564221,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
32,False,"{'a': 0.5179444375946745, 'e': 0.5379444375946745}",25,0,-53.41578257137442,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.5072924240430485, 'e': 0.5272924240430485}",20,0,-23.282370081722185,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 0.49685133449169916, 'e': 0.5168513344916992}",20,0,6.813487478184548,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.48661699236558953, 'e': 0.5066169923655895}",35,9,-110.51712733628518,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 2}",1
36,False,"{'a': 0.47658530379140945, 'e': 0.49658530379140947}",30,10,-9.970372817606954,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.46675225595997166, 'e': 0.4867522559599717}",25,0,-160.86827732844625,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
38,False,"{'a': 0.45711391552103436, 'e': 0.4771139155210344}",20,0,-1.0363898268632985,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.4476664270099092, 'e': 0.46766642700990924}",20,0,-129.79777460503598,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
40,False,"{'a': 0.4384060113052235, 'e': 0.4584060113052235}",20,2,-47.1641430180211,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.42932896411722155, 'e': 0.44932896411722156}",25,1,-24.12413604034575,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 0}",1
42,False,"{'a': 0.42043165450599923, 'e': 0.44043165450599925}",20,7,-68.43612362947036,"{0: 9, 1: 1, 2: 0, 3: 2, 4: 1}",1
43,False,"{'a': 0.4117105234290797, 'e': 0.43171052342907973}",25,9,8.917635069519797,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.4031620823177488, 'e': 0.4231620823177488}",20,0,0.33667861522058784,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.39478291168158136, 'e': 0.4147829116815814}",20,0,-15.859220310098316,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
46,False,"{'a': 0.3865696597405991, 'e': 0.4065696597405991}",20,10,17.60841000351147,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.3785190410845141, 'e': 0.39851904108451414}",25,0,-70.98998721835413,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.37062783535852106, 'e': 0.3906278353585211}",20,5,-44.54532031225472,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
49,False,"{'a': 0.36289288597511205, 'e': 0.38289288597511206}",25,9,27.88100881050536,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.35531109885139955, 'e': 0.37531109885139957}",35,15,15.90841044200023,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.3478794411714423, 'e': 0.36787944117144233}",25,7,-69.61763887360861,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
52,False,"{'a': 0.3405949401730783, 'e': 0.3605949401730783}",25,0,-3.032647094094924,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.33345468195878014, 'e': 0.35345468195878016}",20,10,-35.45483856085278,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.3264558103300574, 'e': 0.3464558103300574}",20,12,5.386980049834401,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.3195955256449391, 'e': 0.3395955256449391}",30,12,-4.2006567923607605,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
56,False,"{'a': 0.31287108369807953, 'e': 0.33287108369807955}",25,1,22.074784105391203,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.30627979462303945, 'e': 0.32627979462303947}",20,9,19.137117110648404,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.2998190218163038, 'e': 0.31981902181630384}",25,11,26.761877544393382,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.2934861808826053, 'e': 0.3134861808826053}",30,0,-15.754613545653608,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.28727873860113123, 'e': 0.30727873860113125}",20,0,14.728515114410131,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.2811942119122021, 'e': 0.30119421191220214}",25,11,21.300847835721356,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.2752301669240142, 'e': 0.2952301669240142}",25,17,-49.63323123235342,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.2693842179390506, 'e': 0.2893842179390506}",25,17,14.635874002678905,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.2636540264997704, 'e': 0.2836540264997704}",20,12,0.2570912174825404,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.2580373004531941, 'e': 0.27803730045319414}",30,5,27.41624666835664,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.2525317930340126, 'e': 0.2725317930340126}",20,13,14.60384846578066,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.24713530196585035, 'e': 0.26713530196585034}",25,5,-8.99488513994167,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.241845668580326, 'e': 0.261845668580326}",20,16,8.930108834868522,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.2366607769535559, 'e': 0.2566607769535559}",20,0,-21.324251297267843,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.23157855305975647, 'e': 0.25157855305975646}",30,14,-23.207135358656487,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
71,False,"{'a': 0.22659696394160644, 'e': 0.24659696394160643}",25,0,28.22539526643236,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.22171401689703646, 'e': 0.24171401689703645}",20,0,9.844245815848529,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
73,False,"{'a': 0.21692775868212177, 'e': 0.23692775868212176}",25,0,13.998357450204612,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.21223627472975884, 'e': 0.23223627472975883}",20,8,-22.28467162432399,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.20763768838381275, 'e': 0.22763768838381274}",25,10,-27.524972496829367,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.20313016014842983, 'e': 0.22313016014842982}",25,3,0.25332447435859473,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
77,False,"{'a': 0.19871188695221476, 'e': 0.21871188695221475}",20,8,12.385194151708587,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.19438110142697795, 'e': 0.21438110142697794}",30,1,43.968136656590005,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.19013607120076473, 'e': 0.21013607120076472}",25,0,-14.450804382913752,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
80,False,"{'a': 0.18597509820488345, 'e': 0.20597509820488344}",25,7,12.09771797866877,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.1818965179946554, 'e': 0.20189651799465538}",20,9,-16.165580304669014,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.19789869908361465, 'e': 0.19789869908361465}",25,0,24.932090395876713,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.19398004229089189, 'e': 0.19398004229089189}",30,4,9.288996870686022,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.1901389801015205, 'e': 0.1901389801015205}",20,8,17.745892890212822,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.18637397603940997, 'e': 0.18637397603940997}",20,11,16.00343808271162,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.18268352405273466, 'e': 0.18268352405273466}",20,13,15.250763124001509,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.17906614791149322, 'e': 0.17906614791149322}",20,8,-25.753118800278422,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.17552040061699686, 'e': 0.17552040061699686}",20,3,12.98592074667361,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.17204486382305054, 'e': 0.17204486382305054}",30,3,25.957877458601477,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.1686381472685955, 'e': 0.1686381472685955}",20,8,22.85035709666932,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.16529888822158653, 'e': 0.16529888822158653}",20,1,-12.957000053389537,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
92,False,"{'a': 0.16202575093388075, 'e': 0.16202575093388075}",20,0,1.0274807100948018,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
93,False,"{'a': 0.15881742610692068, 'e': 0.15881742610692068}",25,8,-75.62159712541165,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
94,False,"{'a': 0.1556726303679973, 'e': 0.1556726303679973}",25,0,30.669040772651922,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.15259010575688386, 'e': 0.15259010575688386}",25,0,-39.49669561009983,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
96,False,"{'a': 0.14956861922263504, 'e': 0.14956861922263504}",30,21,21.20792847768922,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.14660696213035015, 'e': 0.14660696213035015}",20,7,-0.15284484380278118,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.14370394977770293, 'e': 0.14370394977770293}",25,0,27.93902859067324,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.140858420921045, 'e': 0.140858420921045}",20,16,9.08154642227153,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.13806923731089282, 'e': 0.13806923731089282}",30,23,9.76976376425304,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.1353352832366127, 'e': 0.1353352832366127}",25,15,18.551051699786417,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.13265546508012172, 'e': 0.13265546508012172}",25,16,17.352034853994986,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.1300287108784259, 'e': 0.1300287108784259}",30,12,21.78231794415688,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.12745396989482075, 'e': 0.12745396989482075}",35,0,4.587367269733621,"{0: 31, 1: 2, 2: 1, 3: 1, 4: 0}",0
105,False,"{'a': 0.12493021219858241, 'e': 0.12493021219858241}",30,2,43.62496438464088,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.1224564282529819, 'e': 0.1224564282529819}",20,12,15.279952143032821,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.12003162851145673, 'e': 0.12003162851145673}",20,7,12.389895771223138,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.11765484302177918, 'e': 0.11765484302177918}",20,5,25.742139784773958,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.11532512103806251, 'e': 0.11532512103806251}",30,8,-12.435097528686203,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.11304153064044985, 'e': 0.11304153064044985}",25,10,5.476690190622383,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.11080315836233387, 'e': 0.11080315836233387}",25,18,16.455863333241055,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.10860910882495796, 'e': 0.10860910882495796}",30,15,17.272835909952178,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.1064585043792528, 'e': 0.1064585043792528}",25,16,20.02656403221096,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.104350484754765, 'e': 0.104350484754765}",20,0,30.514255410281713,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.10228420671553744, 'e': 0.10228420671553744}",20,13,15.521810733274089,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.1002588437228037, 'e': 0.1002588437228037}",20,2,26.487237687117133,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.09827358560436154, 'e': 0.09827358560436154}",20,3,28.167484842799006,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.09632763823049303, 'e': 0.09632763823049303}",20,13,11.047775820117064,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.09442022319630235, 'e': 0.09442022319630235}",20,7,22.435361041957815,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.09255057751034329, 'e': 0.09255057751034329}",20,0,33.39458803879623,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.09071795328941251, 'e': 0.09071795328941251}",20,11,14.62986316197373,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.08892161745938634, 'e': 0.08892161745938634}",25,12,14.015630952424859,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.0871608514619813, 'e': 0.0871608514619813}",25,17,6.993933430675635,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.08543495096732123, 'e': 0.08543495096732123}",20,10,20.49359825364057,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
