trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.19422691555678,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.9018400869464,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.43797123255317,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.15875439779205,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-209.2345465856415,"{0: 19, 1: 2, 2: 10, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,7,-56.396442311149194,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-33.48000462831192,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-214.43081604647003,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-227.720513977029,"{0: 11, 1: 8, 2: 6, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.8241260294107,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.785101231293,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.08248177265453,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-128.0159797961259,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.41511434154101,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.49910995609633,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,7,-154.7151374708201,"{0: 9, 1: 0, 2: 5, 3: 2, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.5158833558494,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.2195003137285,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.14721773916759,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.100982507202243,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,2,-144.83634064054638,"{0: 17, 1: 3, 2: 3, 3: 4, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-137.19998003081912,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.21693218015349,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.22640162977163,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.0703550161223,"{0: 13, 1: 1, 2: 8, 3: 3, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-38.89616111028238,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.97388996281065,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.45405118831309,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-208.0329938276455,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.23325840283471,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
